Designator,Mid X,Mid Y,Rotation,Layer
C1,139.7,-85.0,180.0,top
C10,188.3375,-89.7,180.0,top
C11,195.2,-89.6,0.0,top
C12,146.3,-87.5,0.0,top
C13,147.3,-86.3,0.0,top
C14,146.0,-101.0,90.0,top
C15,160.7,-82.06,90.0,top
C16,159.7,-99.66,0.0,top
C17,169.1,-92.5,180.0,top
C18,163.9375,-103.8,0.0,top
C19,156.4,-102.7,270.0,top
C2,161.8,-72.0375,90.0,top
C20,157.7,-108.9,180.0,top
C21,152.5,-96.8,180.0,top
C22,168.0,-82.835,90.0,top
C23,167.8,-78.735,90.0,top
C24,177.7,-79.785,270.0,top
C25,173.975,-99.765,90.0,top
C26,173.775,-95.665,90.0,top
C27,183.675,-96.715,270.0,top
C29,201.9,-58.5,180.0,top
C3,155.9,-72.125,90.0,top
C30,225.4,-58.5,180.0,top
C32,187.3525,-66.0075,90.0,top
C33,213.5,-65.8,90.0,top
C34,189.7025,-65.2075,270.0,top
C35,211.4,-65.1,270.0,top
C36,191.5025,-65.2075,270.0,top
C37,209.5,-65.1,270.0,top
C38,184.6,-60.2,0.0,top
C39,175.45,-59.25,0.0,top
C4,141.3,-73.425,90.0,top
C5,189.6,-102.7,0.0,top
C6,147.0,-73.525,90.0,top
C7,197.5,-100.9,0.0,top
C8,218.8,-100.5375,90.0,top
C9,226.3,-100.0,0.0,top
D1,169.7,-72.9,0.0,top
D3,204.8,-71.1,90.0,top
J1,113.2,-87.3,270.0,top
J12,187.1,-72.7,270.0,top
J13,166.15,-58.4,180.0,top
J2,120.1,-93.425,90.0,top
J3,124.0,-96.0,270.0,top
J4,131.0,-93.6,180.0,top
J5,179.2,-72.5,0.0,top
J6,131.0,-98.0,180.0,top
J8,231.625,-103.4,90.0,top
L1,201.9,-61.6,0.0,top
L2,225.4,-61.7,0.0,top
PS1,193.7575,-59.0925,0.0,top
PS2,216.9,-59.16,0.0,top
Q1,183.9025,-66.7075,180.0,top
Q2,169.45,-66.2,90.0,top
R1,137.2,-77.8125,90.0,top
R10,167.4,-100.76,90.0,top
R11,153.9,-101.9,270.0,top
R12,152.2,-101.9125,90.0,top
R13,151.9,-98.7,270.0,top
R14,153.1,-98.7,90.0,top
R15,165.225,-81.86,180.0,top
R16,165.225,-83.76,180.0,top
R17,171.2,-98.79,180.0,top
R18,171.2,-100.69,180.0,top
R19,184.1025,-64.1075,180.0,top
R2,137.175,-82.6,270.0,top
R20,170.65,-60.0,0.0,top
R3,137.2,-86.675,270.0,top
R4,137.1,-91.9125,90.0,top
R5,130.9,-81.1125,90.0,top
R6,131.0,-89.625,270.0,top
R7,131.0,-85.8,90.0,top
R8,128.0,-89.125,270.0,top
R9,160.3,-96.0,270.0,top
U1,140.2,-82.8,180.0,top
U10,148.7,-98.5,0.0,top
U11,156.7,-80.36,180.0,top
U12,156.7,-95.06,180.0,top
U13,164.9,-96.06,270.0,top
U14,160.15,-102.55,90.0,top
U15,172.75,-81.58,270.0,top
U16,178.725,-98.51,270.0,top
U2,158.9,-71.1,0.0,top
U3,144.27,-73.475,270.0,top
U4,191.5,-96.3,90.0,top
U5,225.4,-84.9,180.0,top
U6,223.4,-103.62,270.0,top
U7,191.8,-83.36,90.0,top
U8,143.3,-89.6,180.0,top
U9,147.9,-82.5,0.0,top
