Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C12, C13, C14",0402,4,100nF_0402,C1525
"C10, C11, C15, C16, C17, C18, C22, C23, C24, C25, C26, C27, C34, C35, C5, C7, C8, C9",0603,18,100nF,C14663
C19,1210,1,10uF,C318781
"C2, C3, C4, C6",0603,4,1uF,C15849
C20,1210,1,47uF,C396816
C21,0402,1,100nF_0402,C14663
"C29, C30",1206,2,4.7uF_1206_50V,C29823
"C32, C33",1206,2,10uF_1206_50V,C13585
"C36, C37",0603,2,10nF,C57112
"C38, C39",1210,2,47uF,C84494
"D1, D3",D_SOD-323,2,LBAT54HT1G,C12744
J1,JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal,1,Conn_01x04,C371571
"J12, J13, J5",U.FL_Hirose_U.FL-R-SMT-1_Vertical,3,Conn_Coaxial,C88373
"J2, J3, J4, J6",PinHeader_1x02_P2.54mm_Vertical,4,Conn_01x02_Male_2.54mm,C358684
J8,JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal,1,JST_SH_Conn_01x04_i2c_horizontal,C371571
"L1, L2",1210,2,6.8uH,C87558
"PS1, PS2",Converter_DCDC_Murata_MEE1SxxxxSC_THT,2,B0305S,C909802
Q1,SOT-23,1,BC847C,C8664
Q2,SOT-223-3_TabPin2,1,FZT851TA,C87950
"R1, R4, R5",1206,3,1M_0.1%,C2984499
R10,0603,1,10,C22859
"R11, R15, R16, R17, R18",0603,5,100,C22775
R12,0603,1,2K,C22975
"R13, R14",0402,2,1K,C25804
"R19, R20",0603,2,1K,C21190
R2,0805,1,75K_0.1%,C111588
R3,0805,1,5K_0.1%,C2828700
R6,0603,1,10K 0.1%,C723396
R7,0603,1,100K_0.1%,C122538
R8,0603,1,1K 0.1%,C328422
R9,0603,1,5.49K,C23069
U1,SOT-363_SC-70-6,1,SGM3157,C394901
"U10, U8, U9",MSOP-10_3x3mm_P0.5mm,3,RS2105XN,C237025
"U11, U12",SOIC-8_3.9x4.9mm_P1.27mm,2,OPA2388,C46316
U13,SOIC-8_3.9x4.9mm_P1.27mm,1,INA826,C38433
U14,SOT-23-5,1,OPA388,C30878
"U15, U16",SOP-8_3.9x4.9mm_P1.27mm,2,HX710C,C124156
U2,SOT-23-5,1,LP5907MFX-3.3,C80670
U3,SOT-23,1,REF3325,C69039
U4,SOIC-16_3.9x9.9mm_P1.27mm,1,pi162U,C471609
U6,SOIC-8_3.9x4.9mm_P1.27mm,1,PI121,C471589
U7,SOIC-16_3.9x9.9mm_P1.27mm,1,pi142M31,C471606
