Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2, C3, C8",0402,4,100nF_0402,C56392
"C10, C21, C22",1206,3,10uF_1206_50V,C13585
"C11, C23, C24, C4, C5, C6, C7",0603,7,100nF,C14663
"C12, C27, C28",0603,3,10nF,C57112
"C13, C16, C29, C30, C35, C36",1210,6,47uF,C84494
"C14, C15, C19, C20, C25, C26, C31, C32, C33, C34",0603,10,1uF,C15849
"C17, C18, C9",1206,3,4.7uF_1206_50V,C29823
C37,0603,1,1nF,C100040
J1,USB-C-SMD_TYPE-603-T3,1,USB_C_TYPE_603_T3,C2689837
"J10, J11, J6, J7, J8, J9",U.FL_Hirose_U.FL-R-SMT-1_Vertical,6,Conn_Coaxial,C88373
"J2, J3, J4, J5",JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal,4,JST_SH_Conn_01x04_i2c_uart_horizontal,C371571
JP1,SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,1,SolderJumper_2_Open,
"L1, L2, L3",1210,3,6.8uH,C87558
PS1,Converter_DCDC_Murata_MEE1SxxxxSC_THT,1,B0305S,C909802
"PS2, PS3",PWRM-TH_B0505S-2WR2_C2992385,2,B0505S-2WR2,C2992385
"Q1, Q3, Q4",SOT-23,3,BC847C,C8664
"Q2, Q5, Q6",SOT-223-3_TabPin2,3,FZT851TA,C87950
"R1, R2, R3, R4, R5, R6",0603,6,1K,C21190
"U10, U11, U12, U8, U9",SOT-23-5,5,LP5907MFX-3.3,C80670
U2,TSSOP-16_4.4x5mm_P0.65mm,1,4052,C8142
U3,TSSOP-16_4.4x5mm_P0.65mm,1,"PCA8550PW,112",C129509
U5,SOIC-8_3.9x4.9mm_P1.27mm,1,ISO1541,C143028
U6,SOIC-8_3.9x4.9mm_P1.27mm,1,PI120,C471591
U7,SOIC-8_3.9x4.9mm_P1.27mm,1,PI121,C471589
