Designator,Mid X,Mid Y,Rotation,Layer
C1,120.601191,-79.70925,180.0,top
C10,122.525,-67.7625,90.0,top
C11,124.85,-68.2,270.0,top
C12,126.875,-68.1875,270.0,top
C13,129.8,-67.65,90.0,top
C14,152.45,-66.9,270.0,top
C15,159.0,-67.1375,270.0,top
C16,139.4,-68.15,90.0,top
C17,101.425,-99.83,0.0,top
C18,100.5375,-115.6,0.0,top
C19,148.8,-91.3375,270.0,top
C2,127.576191,-84.10925,90.0,top
C20,148.95,-108.075,270.0,top
C21,119.9375,-95.1,180.0,top
C22,118.3075,-109.05,180.0,top
C23,120.6375,-93.1,0.0,top
C24,119.1375,-106.6,0.0,top
C25,155.1,-91.6,270.0,top
C26,155.15,-109.2375,270.0,top
C27,120.6375,-91.4,0.0,top
C28,119.1375,-104.9,0.0,top
C29,130.6875,-101.3725,0.0,top
C3,109.0,-88.4325,90.0,top
C30,131.2875,-117.0825,0.0,top
C31,148.7,-98.9625,270.0,top
C32,148.9,-116.15,270.0,top
C33,154.9,-99.2,270.0,top
C34,155.3,-116.55,270.0,top
C35,133.85,-96.975,90.0,top
C36,134.55,-112.7825,90.0,top
C37,113.4,-95.4,0.0,top
C4,110.975,-81.6375,180.0,top
C5,110.075,-72.3375,180.0,top
C6,117.175,-81.6375,180.0,top
C7,116.975,-72.2375,180.0,top
C8,118.4,-88.4675,90.0,top
C9,99.8375,-62.0,0.0,top
J1,93.103,-96.5,270.0,top
J10,143.425,-101.825,270.0,top
J11,144.4,-117.85,270.0,top
J2,160.175,-116.1,90.0,top
J3,160.175,-98.7125,90.0,top
J4,160.175,-108.2,90.0,top
J5,160.175,-90.8125,90.0,top
J6,136.475,-63.98,90.0,top
J7,153.15,-62.6,90.0,top
J8,134.575,-91.5875,180.0,top
J9,135.075,-107.725,180.0,top
L1,100.0,-65.0,180.0,top
L2,101.4875,-96.78,180.0,top
L3,100.6125,-112.6,180.0,top
PS1,113.19,-66.0,180.0,top
PS2,115.13,-97.475,0.0,top
PS3,115.23,-111.675,0.0,top
Q1,135.25,-68.2125,270.0,top
Q2,146.55,-66.25,270.0,top
Q3,129.8,-97.535,270.0,top
Q4,130.65,-113.3425,270.0,top
Q5,141.1,-95.0625,270.0,top
Q6,142.1,-110.8625,270.0,top
R1,132.6,-68.25,270.0,top
R2,141.9,-67.3,270.0,top
R3,127.2,-97.5,270.0,top
R4,127.75,-113.6125,270.0,top
R5,136.5,-97.805,270.0,top
R6,137.2,-113.6125,270.0,top
U10,151.95,-109.3375,180.0,top
U11,151.7375,-100.1125,180.0,top
U12,151.9625,-117.3625,180.0,top
U2,122.776191,-76.10925,180.0,top
U3,123.038691,-86.93425,0.0,top
U4,97.28,-79.38,0.0,top
U5,114.0,-85.3325,270.0,top
U6,113.5,-75.9325,270.0,top
U7,113.525,-91.095,270.0,top
U8,155.5375,-68.0875,180.0,top
U9,151.8,-92.4375,180.0,top
