Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C12, C13",0402,3,100nF_0402,C14663
"C10, C7",1210,2,47uF,C84494
C11,0402,1,100nF_0402,C56392
C2,1206,1,4.7uF_1206_50V,C29823
C3,0603,1,1nF,C100040
C4,1206,1,10uF_1206_50V,C13585
C5,0603,1,100nF,C14663
C6,0603,1,10nF,C57112
"C8, C9",0603,2,1uF,C15849
D1,PinSocket_1x02_P2.54mm_Vertical,1,D_Photo_Filled,
"J1, J2",U.FL_Hirose_U.FL-R-SMT-1_Vertical,2,Conn_Coaxial,C88373
J3,JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal,1,JST_SH_Conn_01x04_i2c_horizontal,C371571
"JP1, JP2, JP3, JP4",SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,4,Jumper_2_Open,
L1,1210,1,6.8uH,C87558
PS1,Converter_DCDC_Murata_MEE1SxxxxSC_THT,1,B0305S,C909802
Q1,SOT-23,1,BC847C,C8664
Q2,SOT-223-3_TabPin2,1,FZT851TA,C87950
"R1, R2",0603,2,100K,C22936
"R3, R4",0603,2,10K,C25804
"R5, R6",0603,2,1K,C21190
U1,SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.514x3.2mm_ThermalVias,1,OPA828IDR,C1850247
U2,SOT-23-5,1,LP5907MFX-3.3,C80670
U3,SOIC-8_3.9x4.9mm_P1.27mm,1,ISO1541,C143028
U4,TSSOP-10_3x3mm_P0.5mm,1,ADS1115IDGS,C37593
