Designator,Mid X,Mid Y,Rotation,Layer
C1,124.9,-70.4,90.0,top
C10,156.2,-61.9,90.0,top
C11,142.1,-52.9,0.0,top
C12,141.4,-62.5,270.0,top
C13,136.2,-67.9,270.0,top
C2,171.3575,-52.43,0.0,top
C3,168.9,-58.0375,270.0,top
C4,172.4575,-61.8175,90.0,top
C5,170.1,-61.5,270.0,top
C6,168.3,-61.4625,270.0,top
C7,159.6,-61.9,90.0,top
C8,147.9,-70.8625,90.0,top
C9,141.8,-70.9,90.0,top
D1,113.6,-70.9,180.0,top
J1,165.775,-65.825,270.0,top
J2,152.825,-70.525,270.0,top
J3,184.725,-53.6,90.0,top
L1,171.9575,-56.23,90.0,top
PS1,175.4575,-58.9275,90.0,top
Q1,164.9,-61.4375,270.0,top
Q2,150.6,-63.75,270.0,top
R1,120.3875,-67.5,0.0,top
R2,120.2875,-65.1,0.0,top
R3,120.3,-62.5,0.0,top
R4,120.3125,-59.9,0.0,top
R5,162.2,-61.5,270.0,top
R6,156.1,-65.4,0.0,top
U1,120.3625,-71.495,270.0,top
U2,144.8,-70.8625,0.0,top
U3,139.365,-57.525,180.0,top
U4,132.0325,-67.39,270.0,top
