Designator,Footprint,Quantity,Value,LCSC Part #
C1,0603,1,1uF_25V,C15849
"C2, C5",1210,2,47uF,C84494
"C3, C7",0805,2,10uF X5R 0805,C15850
"C4, C6",0603,2,10nF 50V X7R 0603,C57112
D1,0402,1,LED_0402,C165979
F1,0603,1,Polyfuse,C261935
J1,USB-C-GT-USB-7010ASV,1,GT-USB-7010ASV,C2988369
J2,JST_PH_S2B-PH-K_1x02_P2.00mm_Horizontal,1,JST-S2B-PH,C173752
"J3, J4",U.FL_Hirose_U.FL-R-SMT-1_Vertical,2,Conn_Coaxial,C88374
Q1,SOT-23,1,BC847C,C8664
Q2,SOT-223-3_TabPin2,1,FZT851TA,C87950
"R1, R6, R7, R8",0603,4,1K,C21190
R10,0603,1,15.4K,C185370
"R2, R3, R4, R5",0603,4,10K,C25804
R9,0603,1,115K,C137806
SW1,SW-SMD_DSHP03TS-S,1,DSHP03TS-S,C319051
U1,ESSOP-10_L4.9-W3.9-P1.0-LS6.0-TL-EP,1,CH224K,C970725
U2,MSOP-8-1EP_3x3mm_P0.65mm_EP1.68x1.88mm,1,TPS7A4901DGNR,C16430
