Designator,Mid X,Mid Y,Rotation,Layer
C1,138.6,-79.4,90.0,top
C2,152.2375,-87.825,0.0,top
C3,172.1,-82.0,0.0,top
C4,147.7,-84.3,270.0,top
C5,159.825,-85.825,270.0,top
C6,178.6,-86.8,0.0,top
C7,174.7,-88.2,180.0,top
D1,142.3,-91.6,270.0,top
F1,178.6,-88.4,180.0,top
J1,128.1,-86.68,270.0,top
J2,182.95,-86.9,90.0,top
J3,157.25,-81.15,180.0,top
J4,166.675,-90.625,0.0,top
Q1,152.445,-82.8125,270.0,top
Q2,165.625,-83.875,270.0,top
R1,138.8,-91.1,90.0,top
R10,178.6,-83.6,180.0,top
R2,135.5,-91.1,270.0,top
R3,135.2,-79.4,90.0,top
R4,136.9,-79.4,90.0,top
R5,137.2,-91.1,270.0,top
R6,140.5,-91.1,270.0,top
R7,149.925,-82.5125,270.0,top
R8,156.125,-84.025,0.0,top
R9,178.6,-85.2,0.0,top
SW1,143.5,-85.0,0.0,top
U1,135.7,-85.28,180.0,top
U2,173.33,-84.93,180.0,top
